MT-QSO-PARTY|Montana QSO Party
EA-DME|Municipios Espanoles
EA-VHF-EA|Nacional VHF
RSGB-NFD|National Field Day
NE-QSO-PARTY|Nebraska QSO Party
NV-QSO-PARTY|Nevada QSO Party
NEQP|New England QSO Party
NH-QSO-PARTY|New Hampshire QSO Party
NJ-QSO-PARTY|New Jersey QSO Party
NM-QSO-PARTY|New Mexico QSO Party
NY-QSO-PARTY|New York QSO Party
NAQP-CW|North America QSO Party (CW)
NAQP-SSB|North America QSO Party (Phone)
NAQP-RTTY|North America QSO Party (RTTY)
NA-SPRINT-CW|North America Sprint (CW)
NA-SPRINT-SSB|North America Sprint (Phone)
NA-SPRINT-RTTY|North America Sprint (RTTY)
NC-QSO-PARTY|North Carolina QSO Party
ND-QSO-PARTY|North Dakota QSO Party
NRAU-BALTIC-CW|NRAU-Baltic Contest (CW)
NRAU-BALTIC-SSB|NRAU-Baltic Contest (SSB)
OCEANIA-DX-CW|Oceania DX Contest (CW)
OCEANIA-DX-SSB|Oceania DX Contest (SSB)
OH-QSO-PARTY|Ohio QSO Party
OK-QSO-PARTY|Oklahoma QSO Party
OMISS-QSO-PARTY|Old Man International Sideband Society QSO Party
ON-QSO-PARTY|Ontario QSO Party
1010-OPEN-SEASON|Open Season Ten Meter QSO Party
UKR-CHAMP-RTTY|Open Ukraine RTTY Championship
OR-QSO-PARTY|Oregon QSO Party
PA-QSO-PARTY|Pennsylvania QSO Party
070-31-FLAVORS|PODXS 31 Flavors
070-40M-SPRINT|PODXS 40m Firecracker Sprint
070-80M-SPRINT|PODXS 80m Jay Hudak Memorial Sprint
070-160M-SPRINT|PODXS Great Pumpkin Sprint
070-PSKFEST|PODXS PSKFest
070-ST-PATS-DAY|PODXS St. Patricks Day
070-3-DAY|PODXS Three Day Weekend
070-VALENTINE-SPRINT|PODXS Valentine Sprint
SP-DX-RTTY|PRC SPDX Contest (RTTY)
EPC-PSK63|PSK63 QSO Party
EA-VHF-QSL|QSL V-UHF & 50MHz
QC-QSO-PARTY|Quebec QSO Party
RAC-CANADA-DAY|RAC Canada Day Contest
RAC-CANADA-WINTER|RAC Canada Winter Contest
VENEZ-IND-DAY|RCV Venezuelan Independence Day Contest
REP-PORTUGAL-DAY-HF|Rede dos Emissores Portugueses Portugal Day HF Contest
REF-160M|Reseau des Emetteurs Francais 160m Contest
REF-CW|Reseau des Emetteurs Francais Contest (CW)
REF-SSB|Reseau des Emetteurs Francais Contest (SSB)
RI-QSO-PARTY|Rhode Island QSO Party
RSGB-ROPOCO|RoPoCo
RDAC|Russian District Award Contest
RDXC|Russian DX Contest
RUSSIAN-RTTY|Russian Radio RTTY Worldwide Contest
EA-VHF-SADURNI|Sant Sadurni V-UHF
SARTG-RTTY|SARTG WW RTTY
SAC-CW|Scandinavian Activity Contest (CW)
SAC-SSB|Scandinavian Activity Contest (SSB)
SCC-RTTY|SCC RTTY Championship
SR-MARATHON|Scottish-Russian Marathon
EA-VHF-EA1RCS|Segovia EA1RCS V-UHF
SC-QSO-PARTY|South Carolina QSO Party
SD-QSO-PARTY|South Dakota QSO Party
SPDXContest|SP DX Contest
SPAR-WINTER-FD|SPAR Winter Field Day(2016 and earlier)
SMP-AUG|SSA Portabeltest
SMP-MAY|SSA Portabeltest
RSGB-SSB-FD|SSB Field Day
STEW-PERRY|Stew Perry Topband Distance Challenge
EA-SMRE-CW|Su Majestad El Rey de Espana - CW
EA-SMRE-SSB|Su Majestad El Rey de Espana - CW
TARA-GRID-DIP|TARA Grid Dip PSK-RTTY Shindig
TARA-RTTY|TARA RTTY Melee
TARA-RUMBLE|TARA Rumble PSK Contest
TARA-SKIRMISH|TARA Skirmish Digital Prefix Contest
10-RTTY|Ten-Meter RTTY Contest
TN-QSO-PARTY|Tennessee QSO Party
TX-QSO-PARTY|Texas QSO Party
TMC-RTTY|The Makrothen Contest
UBA-DX-CW|UBA Contest (CW)
UBA-DX-SSB|UBA Contest (SSB)
UK-DX-RTTY|UK DX RTTY Contest
UKRAINIAN DX|Ukrainian DX
URE-DX|Ukrainian DX Contest
UKSMG-6M-MARATHON|UKSMG 6m Marathon
UKSMG-SUMMER-ES|UKSMG Summer Es Contest
EA-RTTY|Union de Radioaficionados Espanoles RTTY Contest
EA-WW-RTTY|Union de Radioaficionados Espanoles RTTY Contest
UT-QSO-PARTY|Utah QSO Party
VT-QSO-PARTY|Vermont QSO Party
VA-QSO-PARTY|Virginia QSO Party
VIRGINIA QSO PARTY|Virginia QSO Party
DARC-WAEDC-CW|WAE DX Contest (CW)
DARC-WAEDC-RTTY|WAE DX Contest (RTTY)
DARC-WAEDC-SSB|WAE DX Contest (SSB)
WA-QSO-PARTY|Washington QSO Party
WV-QSO-PARTY|West Virginia QSO Party
WIA-HARRY ANGEL|WIA Harry Angel Memorial 80m Sprint
WIA-JMMFD|WIA John Moyle Memorial Field Day
WIA-OCDX|WIA Oceania DX (OCDX) Contest
WIA-REMEMBRANCE|WIA Remembrance Day
WIA-ROSS HULL|WIA Ross Hull Memorial VHF/UHF Contest
WIA-TRANS TASMAN|WIA Trans Tasman Low Bands Challenge
WIA-VHF/UHF FD|WIA VHF UHF Field Days
WIA-VK SHIRES|WIA VK Shires
WFD|Winter Field Day (2017 and later)
WI-QSO-PARTY|Wisconsin QSO Party
WW-DIGI|World Wide Digi DX Contest
WY-QSO-PARTY|Wyoming QSO Party
YOHFDX|YODX HF contest
YUDXC|YU DX Contest
